Model,Baseline_Macro_F1,Tuned_Macro_F1,Improvement
XGBoost,0.9717877296918871,0.973049264441225,0.0012615347493378781
Extra Trees,0.9722933128686633,0.9728040878524549,0.0005107749837915954
Random Forest,0.9716586095838025,0.9719198614765461,0.00026125189274361915
