mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.347130870819092,0.01717104255393736,0.09891366958618164,0.0011807511767496991,0.8,0.01,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.7654761904761904,0.7694258846820095,0.7589351851851852,0.7773253350283383,0.7773623926185174,0.7697049975980481,0.007080322226467086,48,0.774326825792639,0.7780430889467996,0.776429053107047,0.7765290752132857,0.7748821603755047,0.7760420406870552,0.001317456629414747
2.056086301803589,0.017122817659469068,0.10095930099487305,0.001474312736624795,0.8,0.01,4,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",0.8565112915266891,0.8609574581796804,0.8504655921719192,0.8609198163570362,0.8669098391320613,0.8591527994734772,0.005458863268313131,41,0.8655751767720207,0.8643196294997662,0.8629661238308035,0.8625080352968677,0.8656800250611645,0.8642097980921246,0.001302352601848254
4.779495716094971,0.028802131139334334,0.20121421813964843,0.005871701568480411,0.8,0.01,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9128400921817494,0.90868993993994,0.8947631546056742,0.9146373666294982,0.9127241022549705,0.9087309311223665,0.007250062921153359,36,0.9171669749827887,0.9086849507735583,0.9086849507735583,0.9138595551717722,0.9143348651087679,0.912546259362089,0.0033494559940349888
4.122342300415039,0.024965687738687334,0.2039943218231201,0.008099685737469078,0.8,0.01,4,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9118486481561031,0.90868993993994,0.90868993993994,0.9086520434945632,0.9086520434945632,0.9093065230050218,0.001271175557920456,35,0.9145394746961323,0.9086849507735583,0.9086849507735583,0.908959585046642,0.9086944288126055,0.9099126780204994,0.0023157889892112885
2.38741397857666,0.012417820214774859,0.10468988418579102,0.0011049385043868363,0.8,0.01,6,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.8}",0.7695630229262517,0.7776852224785292,0.7676349580236135,0.7860266333341716,0.7856217304150371,0.7773063134355206,0.0077308133356752675,46,0.7828080687842798,0.7867979575819101,0.7837977865592092,0.7851706782807552,0.782364472100706,0.7841877926613721,0.0016222987182937425
2.1060691356658934,0.010740280017359941,0.10760965347290039,0.005787057736407944,0.8,0.01,6,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}",0.8606028505392912,0.869227035564601,0.8591761522790935,0.8696319384837355,0.875179416516982,0.8667634786767406,0.006010757769986111,38,0.8740677231707332,0.8718110978757196,0.8716973656438324,0.8698857714409338,0.8744445492281708,0.8723813014718779,0.0016805701379899488
4.803938913345337,0.027676204578459377,0.20617928504943847,0.0018998258689556836,0.8,0.01,6,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.8}",0.9142896077508134,0.9169639807579143,0.9064467068878833,0.9178089589956794,0.9194466205335771,0.9149911749851734,0.0045865672573624965,33,0.9180472335753872,0.91617974239483,0.9215648954687871,0.9169784309319571,0.9217958033959905,0.9189132211533904,0.002336917237302111
4.176281595230103,0.02534683837180404,0.20812129974365234,0.0026627921708692894,0.8,0.01,6,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 1.0}",0.9142050973436379,0.9178485297358177,0.9174083635544082,0.9185764793156243,0.9194466205335771,0.9174970180966131,0.0017851805785288918,31,0.9181560976384455,0.9171915271264832,0.9160659542787073,0.919450248126127,0.9217958033959905,0.9185319261131507,0.001975608453670989
2.416774940490723,0.03289746528145803,0.11339259147644043,0.004494786131936853,0.8,0.01,8,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.8}",0.7725012045887388,0.7790031055027259,0.7723214174107284,0.7893708037158192,0.7890257540286644,0.7804444570493353,0.007542875440596328,45,0.7859271220395853,0.7883596645748469,0.7899743171745953,0.7898582640059449,0.788771039420539,0.7885780814431023,0.001462933086685419
2.165918731689453,0.026423608050565168,0.11261858940124511,0.0019533980365452723,0.8,0.01,8,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100, 'subsample': 1.0}",0.8636370967741934,0.8712997631848438,0.8640329165807566,0.872208363031599,0.878588840736728,0.8699533960616241,0.005593142214796895,37,0.8769446149416141,0.8740291502651578,0.8778596651701629,0.8742125540437423,0.8808622430249633,0.8767816454891282,0.0025304712026553424
