Model,Accuracy_Mean,Accuracy_Std,Precision_Macro,Recall_Macro,F1_Macro,F1_Macro_Std,F1_Weighted
Extra Trees,0.9208348075577897,0.0029458417113561305,0.9720648325756398,0.9727583416442694,0.9722933128686633,0.0006908625335491401,0.9218339691076913
Decision Tree,0.9199269394693605,0.0032221907911446405,0.9718444866383958,0.9726017866201602,0.9720756114257328,0.0006441365896003677,0.9210545412363992
XGBoost,0.9250701527499878,0.0025754939893826477,0.9728287578648984,0.9710144504221268,0.9717877296918871,0.0013712150023052904,0.9240310599535533
Random Forest,0.9224483716428351,0.0010904526815490895,0.9719416875830802,0.971509028026866,0.9716586095838025,0.0006120686712088609,0.9217976665404889
KNN,0.9235574459518814,0.0030958741311437592,0.9701252011343218,0.971510954226928,0.9706940022961248,0.0015388010906396234,0.9228055300820028
SVM,0.9144815610105249,0.0006166622682106889,0.9283459595959596,0.9416666666666667,0.9337390942238745,0.02042154692855323,0.8800211796347147
Logistic Regression,0.9133722833601745,0.0005014466756183832,0.9019855852842295,0.9024595469255663,0.8981212073744977,0.008666359708338614,0.8784273753489874
