mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9492275714874268,0.005932941352485574,0.10428080558776856,0.03133176936648878,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9722665770232792,0.9709580787652107,0.970944560737176,0.9723599048402588,0.9717639265530876,0.9716586095838025,0.0006120686712088609,29,0.9825130820692852,0.9824622892717837,0.9823012501701051,0.9832317073170732,0.9829655930895033,0.9826947843835502,0.0003474370380139068
1.909987449645996,0.11001252715343199,0.17337756156921386,0.022714194804637468,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9713657418237963,0.9706171337669022,0.9717341482047365,0.9721027287319423,0.971077680889303,0.9713794866833361,0.0005140664321476504,111,0.9823454483695652,0.982539308382005,0.9822119316041419,0.9832317073170732,0.9828633987750749,0.9826383588895722,0.0003688232942818468
2.750914430618286,0.08440399194632776,0.2327735424041748,0.019481777562084076,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9713992473486144,0.9713657418237963,0.9714019709452456,0.9714537856777308,0.9716670426347845,0.9714575576860343,0.00010846041264864444,79,0.9822825586746434,0.9824778218339615,0.9822269738196715,0.9831893081648783,0.9830926734658014,0.9826538671917913,0.00040751635938959737
0.8953049182891846,0.056071367316647,0.11037445068359375,0.020849728086991762,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9723599571160547,0.9711943368573106,0.9702957099058733,0.9722508886595573,0.971672917731009,0.971554762053961,0.0007565726319452084,57,0.9822987675834535,0.9822131823936607,0.9820970788639277,0.9830246913580246,0.9826056054445801,0.9824478651287294,0.0003340561550900522
1.8599146842956542,0.07211719175182703,0.15192670822143556,0.011702141123220525,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9708874214024409,0.9708559782608696,0.9713780533059745,0.9710335747202107,0.971118348712074,0.971054675280314,0.00018789744661838685,157,0.9821309505791019,0.9823221193739279,0.9820505910390344,0.9828336481008878,0.9825696691643979,0.98238139565147,0.00028832179821720394
2.6493247985839843,0.06820881528820466,0.24538488388061525,0.027757864584864414,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9716032608695652,0.9715356767988347,0.9711058827622497,0.9709842872262477,0.9714902415570587,0.9713438698427913,0.00024957395718303493,119,0.9821634802177582,0.9821957395651802,0.9820349653900181,0.9829562800825271,0.9827032013491502,0.9824107333209268,0.00035544810213627043
0.8684533119201661,0.03476212726729916,0.10317854881286621,0.009929643415543634,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9734207313154681,0.9724637993914413,0.9695898656215004,0.972718253968254,0.9709580787652107,0.9718301458123749,0.0013783737857219554,11,0.9811075825725344,0.9814106420400535,0.9816174414863034,0.9818362914161597,0.9818913631056781,0.9815726641241458,0.00028831420619491804
1.7302063941955566,0.07624959803239163,0.16189999580383302,0.011800280258175973,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9723256134546457,0.9726366969205412,0.9706096788980813,0.9720384284699638,0.9702428297384551,0.9715706494963374,0.0009603972779322681,51,0.9811817766502395,0.981518817204301,0.9816626330664951,0.9818811078729207,0.9818975270728947,0.9816283723733703,0.00026417545498813626
2.5943689346313477,0.10683583965304747,0.2330785274505615,0.012711298301292091,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.9726022658479634,0.9726366969205412,0.9706096788980813,0.971077680889303,0.9712932758076397,0.9716439196727057,0.0008267122250559102,31,0.9812204695801051,0.9814106420400535,0.9816174414863034,0.981892532308189,0.9821048603421151,0.9816491891513532,0.0003189248298222807
0.8814438343048095,0.043436314677616494,0.1117166519165039,0.014014312637215925,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9716723608082821,0.9723597735061064,0.9707231792226768,0.9724415289017818,0.9706171337669022,0.9715627952411499,0.0007769919558135162,55,0.9812058563661692,0.9817537674778692,0.9816174414863034,0.9823843702170759,0.9819915658932953,0.9817906002881426,0.0003914628932125589
